Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
API,,,,27-08-2025 11:55:31,27-08-2025 11:55:36,"5,741s",PASSED
,,,,,,,
Test Cases/API/TC_001 List User,,,,27-08-2025 11:55:31,27-08-2025 11:55:34,"2,932s",PASSED
"response = sendRequest(findTestObject(""GET List Users""))",,,,27-08-2025 11:55:32,27-08-2025 11:55:34,"2,225s",PASSED
"verifyResponseStatusCode(response, 200)",,,,27-08-2025 11:55:34,27-08-2025 11:55:34,"0,038s",PASSED
"verifyElementPropertyValue(response, ""data[0].email"", ""george.bluth@reqres.in"")",,,,27-08-2025 11:55:34,27-08-2025 11:55:34,"0,097s",PASSED
,,,,,,,
Test Cases/API/TC_002 Single User,,,,27-08-2025 11:55:34,27-08-2025 11:55:35,"0,537s",PASSED
"response = sendRequest(findTestObject(""GET Single User""))",,,,27-08-2025 11:55:35,27-08-2025 11:55:35,"0,249s",PASSED
"verifyResponseStatusCode(response, 200)",,,,27-08-2025 11:55:35,27-08-2025 11:55:35,"0,008s",PASSED
"verifyElementPropertyValue(response, ""data.first_name"", ""Janet"")",,,,27-08-2025 11:55:35,27-08-2025 11:55:35,"0,067s",PASSED
,,,,,,,
Test Cases/API/TC_003 Update User,,,,27-08-2025 11:55:35,27-08-2025 11:55:36,"0,551s",PASSED
"response = sendRequest(findTestObject(""PUT Update User""))",,,,27-08-2025 11:55:35,27-08-2025 11:55:35,"0,328s",PASSED
"verifyResponseStatusCode(response, 200)",,,,27-08-2025 11:55:35,27-08-2025 11:55:35,"0,013s",PASSED
"assert getElementPropertyValue(response, ""updatedAt"") != null",,,,27-08-2025 11:55:35,27-08-2025 11:55:36,"0,066s",PASSED
,,,,,,,
Test Cases/API/TC_004 Register User,,,,27-08-2025 11:55:36,27-08-2025 11:55:36,"0,882s",PASSED
"response = sendRequest(findTestObject(""GET Single User""))",,,,27-08-2025 11:55:36,27-08-2025 11:55:36,"0,185s",PASSED
"verifyResponseStatusCode(response, 200)",,,,27-08-2025 11:55:36,27-08-2025 11:55:36,"0,005s",PASSED
"verifyElementPropertyValue(response, ""data.first_name"", ""Janet"")",,,,27-08-2025 11:55:36,27-08-2025 11:55:36,"0,064s",PASSED
"email = getElementPropertyValue(response, ""data.email"")",,,,27-08-2025 11:55:36,27-08-2025 11:55:36,"0,047s",PASSED
"println(""Email dari GET: "" + email)",,,,27-08-2025 11:55:36,27-08-2025 11:55:36,"0,013s",PASSED
"postResponse = sendRequest(findTestObject(""POST Register"", [""email"":email, ""password"":""kopi""]))",,,,27-08-2025 11:55:36,27-08-2025 11:55:36,"0,349s",PASSED
"verifyResponseStatusCode(postResponse, 200)",,,,27-08-2025 11:55:36,27-08-2025 11:55:36,"0,004s",PASSED
"verifyElementPropertyValue(postResponse, ""id"", 2)",,,,27-08-2025 11:55:36,27-08-2025 11:55:36,"0,043s",PASSED
